comp,value_count,average_placement,group,grp_count,grp_placement
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Tet-Brr-Led-Ornn,Whs-Asn-Pyke,Tet-Asn-Qiyana,Jae-Str-Soraka,Whs-Mae-Brr-Sylas,Whs-Gun-Thresh",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Tet-Brr-Led-Ornn,Tet-Asn-Qiyana,Rag-Brr-War-Shen,Jae-Str-Soraka,Whs-Mae-Brr-Sylas,Gud-Asn-Talon",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Tet-Brr-Led-Ornn,Tet-Asn-Qiyana,Gud-Car-Sejuani,Rag-Brr-War-Shen,Whs-Mae-Brr-Sylas,Gud-Asn-Talon",1,1.0,1,4817,3.5072831378575127
"Tet-Drr-LeeSin,Tet-Brr-Led-Ornn,Rag-Brr-War-Shen,Rag-Shr-Drn-Shyvana,Rag-Drr-Shr-Swain,Gud-Swt-Twitch,Rag-Swt-Xayah,Mie-Drr-War-Yasuo",1,1.0,5,4,3.0
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Tet-Brr-Led-Ornn,Gud-Mae-Ryze,Rag-Brr-War-Shen,Whs-Mae-Brr-Sylas,Gud-Asn-Talon,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Tet-Brr-Led-Ornn,Gud-Mae-Ryze,Rag-Brr-War-Shen,Jae-Str-Soraka,Whs-Mae-Brr-Sylas,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Tet-Drr-LeeSin,Tet-Brr-Led-Ornn,Rag-Brr-War-Shen,Rag-Shr-Drn-Shyvana,Rag-Drr-Shr-Swain,Rag-Swt-Xayah,Mie-Drr-War-Yasuo",1,1.0,6,3,1.6666666666666667
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Scn-Car-Mae-Lillia,Scn-Brr-War-Olaf,Tet-Brr-Led-Ornn,Rel-Evr-Sona,Whs-Mae-Brr-Sylas,She-Spf-Mae-Zoe",1,1.0,7,1,1.0
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Scn-Car-Mae-Lillia,Gud-Mae-Ryze,Gud-Car-Sejuani,Whs-Mae-Brr-Sylas,Gud-Asn-Talon,Gud-Swt-Twitch",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Scn-Brr-War-Olaf,Tet-Brr-Led-Ornn,Whs-Asn-Pyke,Tet-Asn-Qiyana,Whs-Mae-Brr-Sylas,Gud-Asn-Talon",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Scn-Brr-War-Olaf,Tet-Brr-Led-Ornn,Whs-Asn-Pyke,Tet-Asn-Qiyana,Rag-Brr-War-Shen,Gud-Asn-Talon",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Scn-Brr-War-Olaf,Tet-Brr-Led-Ornn,Tet-Asn-Qiyana,Whs-Mae-Brr-Sylas,Gud-Asn-Talon,Mie-Drr-War-Yasuo",1,1.0,1,4817,3.5072831378575127
"Tet-Drr-LeeSin,Tet-Brr-Led-Ornn,Rag-Drr-Sett,Rag-Brr-War-Shen,Rag-Shr-Drn-Shyvana,Jae-Str-Soraka,Rag-Drr-Shr-Swain,Mie-Drr-War-Yasuo",1,1.0,6,3,1.6666666666666667
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Scn-Brr-War-Olaf,Tet-Brr-Led-Ornn,Rag-Brr-War-Shen,Whs-Mae-Brr-Sylas,Mie-Drr-War-Yasuo,Mie-War-Yone",1,1.0,1,4817,3.5072831378575127
"Mie-Drn-DragonBlue,Whs-Brr-Drn-DragonPurple,Rag-Car-Hecarim,Mie-Car-Nunu,Tet-Brr-Led-Ornn,Whs-Asn-Pyke,Gud-Car-Sejuani",1,1.0,8,3,3.0
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Scn-Brr-War-Olaf,Tet-Brr-Led-Ornn,Gud-Mae-Ryze,Rag-Brr-War-Shen,Whs-Mae-Brr-Sylas,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Tet-Brr-Led-Ornn,Whs-Asn-Pyke,Tet-Asn-Qiyana,Rag-Brr-War-Shen,Gud-Asn-Talon,Mie-Drr-War-Yasuo",4,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Tet-Brr-Led-Ornn,Whs-Asn-Pyke,Tet-Asn-Qiyana,Whs-Mae-Brr-Sylas,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Trr-Mae-Heimerdinger,Trr-Myc-Evr-Lulu,Whs-Asn-Pyke,Tet-Asn-Qiyana,-TrainerDragon,Mie-Drr-War-Yasuo,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Trr-Mae-Heimerdinger,Trr-Myc-Evr-Lulu,Whs-Asn-Pyke,Rel-Evr-Sona,Whs-Mae-Brr-Sylas,Whs-Gun-Thresh,-TrainerDragon,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Trr-Mae-Heimerdinger,Trr-Myc-Evr-Lulu,Whs-Asn-Pyke,Jae-Str-Soraka,Whs-Mae-Brr-Sylas,Whs-Gun-Thresh,-TrainerDragon,Trr-Car-Tristana,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Trr-Mae-Heimerdinger,Trr-Myc-Evr-Lulu,Whs-Asn-Pyke,Gud-Mae-Ryze,Gud-Asn-Talon,-TrainerDragon,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Trr-Mae-Heimerdinger,Trr-Myc-Evr-Lulu,Tet-Brr-Led-Ornn,Whs-Asn-Pyke,Whs-Mae-Brr-Sylas,-TrainerDragon,She-Spf-Mae-Zoe",2,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Trr-Mae-Heimerdinger,Trr-Myc-Evr-Lulu,Rel-Evr-Sona,Whs-Mae-Brr-Sylas,Gud-Asn-Talon,-TrainerDragon,She-Spf-Mae-Zoe",2,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Trr-Mae-Heimerdinger,Trr-Myc-Evr-Lulu,Rel-Evr-Sona,Whs-Mae-Brr-Sylas,Gud-Asn-Talon,-TrainerDragon,Mie-Drr-War-Yasuo,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Trr-Mae-Heimerdinger,Trr-Myc-Evr-Lulu,Rel-Evr-Sona,Whs-Mae-Brr-Sylas,-TrainerDragon,Trr-Car-Tristana,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Trr-Mae-Heimerdinger,Trr-Myc-Evr-Lulu,Rel-Evr-Sona,Whs-Mae-Brr-Sylas,-TrainerDragon",2,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Trr-Mae-Heimerdinger,Trr-Myc-Evr-Lulu,Gud-Mae-Ryze,Rel-Evr-Sona,Whs-Mae-Brr-Sylas,-TrainerDragon,Mie-Drr-War-Yasuo",1,1.0,1,4817,3.5072831378575127
"Mie-Drn-DragonBlue,She-Drn-Gun-DragonGold,Whs-Brr-Drn-DragonPurple,Whs-Mae-Brr-Sylas,Whs-Gun-Thresh,Mie-Drr-War-Yasuo",1,1.0,9,984,5.123366105089133
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Trr-Mae-Heimerdinger,Trr-Myc-Evr-Lulu,Asl-Mae-Myc-Nami,Whs-Mae-Brr-Sylas,-TrainerDragon,Mie-Drr-War-Yasuo,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Tet-Brr-Led-Ornn,Whs-Asn-Pyke,Tet-Asn-Qiyana,Rag-Brr-War-Shen,Jae-Str-Soraka,Whs-Mae-Brr-Sylas,Whs-Gun-Thresh,Mie-Drr-War-Yasuo",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Trr-Mae-Heimerdinger,Trr-Myc-Evr-Lulu,Asl-Mae-Myc-Nami,Jae-Shr-Neeko,Rel-Evr-Sona,Whs-Mae-Brr-Sylas,-TrainerDragon",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Trr-Mae-Heimerdinger,Tet-Drr-LeeSin,Tet-Brr-Led-Ornn,Whs-Mae-Brr-Sylas,-TrainerDragon,Trr-Car-Tristana,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Mie-Drn-DragonBlue,Tet-Drr-LeeSin,Jae-Shr-Neeko,Mie-Car-Nunu,Tet-Brr-Led-Ornn,Gud-Car-Sejuani,Mie-Drr-War-Yasuo,Mie-War-Yone",1,1.0,10,3,2.25
"Mie-Drn-DragonBlue,Tet-Drr-LeeSin,Mie-Car-Nunu,Tet-Brr-Led-Ornn,Jae-Str-Soraka,Rag-Drr-Shr-Swain,Mie-Drr-War-Yasuo,Mie-War-Yone",1,1.0,9,984,5.123366105089133
"Tet-Drn-AoShin,Whs-Brr-Drn-DragonPurple,Tet-Brr-Led-Ornn,Rag-Brr-War-Shen,Whs-Mae-Brr-Sylas",1,1.0,0,3020,4.6962400707562075
"Mie-Drn-DragonBlue,Tet-Drr-LeeSin,Mie-Gun-Leona,Mie-Car-Nunu,Tet-Asn-Qiyana,Gud-Car-Sejuani,Gud-Asn-Talon,Gud-Swt-Twitch,Mie-Drr-War-Yasuo",1,1.0,11,1,1.0
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Tet-Swt-Ezreal,Tet-Brr-Led-Ornn,Rag-Brr-War-Shen,Whs-Mae-Brr-Sylas,Asl-Swt-Varus,Mie-Drr-War-Yasuo",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Tet-Swt-Ezreal,Rag-Car-Hecarim,Tet-Brr-Led-Ornn,Rag-Brr-War-Shen,Whs-Mae-Brr-Sylas,Rag-Swt-Xayah",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Tet-Swt-Ezreal,Asl-Brr-Illaoi,Tet-Brr-Led-Ornn,Whs-Mae-Brr-Sylas,Whs-Gun-Thresh,Asl-Swt-Varus",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Tet-Swt-Ezreal,Asl-Brr-Illaoi,Tet-Brr-Led-Ornn,Whs-Asn-Pyke,Asl-Swt-Varus",1,1.0,1,4817,3.5072831378575127
"Scn-Gun-Braum,Rel-Car-Corki,She-Drn-Gun-DragonGold,Trr-Mae-Heimerdinger,Rel-Car-Jinx,Trr-Myc-Evr-Lulu,Rag-Car-Senna,Rel-Evr-Sona,-TrainerDragon,Trr-Car-Tristana",1,1.0,12,310,5.555625410913872
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Tet-Drr-LeeSin,Tet-Brr-Led-Ornn,Whs-Asn-Pyke,Rag-Brr-War-Shen,Whs-Mae-Brr-Sylas,Gud-Asn-Talon",1,1.0,1,4817,3.5072831378575127
"Tet-Drn-AoShin,Whs-Brr-Drn-DragonPurple,Trr-Mae-Heimerdinger,Trr-Myc-Evr-Lulu,Tet-Brr-Led-Ornn,Whs-Mae-Brr-Sylas,-TrainerDragon,She-Spf-Mae-Zoe",1,1.0,13,781,4.478663231547272
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Trr-Mae-Heimerdinger,Trr-Myc-Evr-Lulu,Asl-Mae-Myc-Nami,Gud-Mae-Ryze,Whs-Mae-Brr-Sylas,-TrainerDragon",1,1.0,1,4817,3.5072831378575127
"Scn-Gun-Braum,Rel-Car-Corki,She-Drn-Gun-DragonGold,Trr-Mae-Heimerdinger,Trr-Myc-Evr-Lulu,Rel-Evr-Sona,-TrainerDragon,Trr-Car-Tristana,Mie-Drr-War-Yasuo",1,1.0,12,310,5.555625410913872
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Scn-Brr-War-Olaf,Tet-Brr-Led-Ornn,Gud-Car-Sejuani,Whs-Mae-Brr-Sylas,Gud-Asn-Talon,Mie-Drr-War-Yasuo",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Rag-She-Asn-Kayn,Gud-Mae-Ryze,Whs-Mae-Brr-Sylas,She-Drr-Led-Volibear,Mie-Drr-War-Yasuo,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Rag-Car-Hecarim,Jae-Shr-Neeko,Rag-Brr-War-Shen,Rag-Shr-Drn-Shyvana,Gud-Asn-Talon,Gud-Swt-Twitch,Rag-Swt-Xayah,Mie-Drr-War-Yasuo",1,1.0,14,2171,5.049030266690456
"Tet-Swt-Ezreal,Asl-Brr-Illaoi,Tet-Brr-Led-Ornn,Asl-Brr-Skarner,Whs-Mae-Brr-Sylas,Gud-Swt-Twitch,Asl-Swt-Varus,Rag-Swt-Xayah,Mie-Drr-War-Yasuo",1,1.0,14,2171,5.049030266690456
"Tet-Swt-Ezreal,Asl-Brr-Illaoi,Tet-Brr-Led-Ornn,Gud-Asn-Talon,Asl-Swt-Varus",1,1.0,15,1,1.0
"Rag-Car-Hecarim,Jae-Shr-Neeko,Scn-Brr-War-Olaf,Rag-Car-Senna,Rag-Drr-Sett,Rag-Brr-War-Shen,Rag-Shr-Drn-Shyvana,Rag-Drr-Shr-Swain,Rag-Swt-Xayah,Mie-Drr-War-Yasuo",1,1.0,16,1,1.0
"Gud-Myc-Bad-Bard,Trr-Mae-Heimerdinger,Trr-Myc-Evr-Lulu,Asl-Mae-Myc-Nami,Tet-Brr-Led-Ornn,Gud-Mae-Ryze,Whs-Mae-Brr-Sylas,-TrainerDragon,Mie-Drr-War-Yasuo,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Rag-Car-Hecarim,Jae-Shr-Neeko,Tet-Brr-Led-Ornn,Gud-Car-Sejuani,Rag-Shr-Drn-Shyvana,Gud-Asn-Talon,Gud-Swt-Twitch,Rag-Swt-Xayah",1,1.0,14,2171,5.049030266690456
"Gud-Myc-Bad-Bard,Trr-Mae-Heimerdinger,Scn-Car-Mae-Lillia,Trr-Myc-Evr-Lulu,Asl-Mae-Myc-Nami,Tet-Brr-Led-Ornn,Gud-Mae-Ryze,Rel-Evr-Sona,Whs-Mae-Brr-Sylas,-TrainerDragon",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Trr-Mae-Heimerdinger,Scn-Car-Mae-Lillia,Asl-Mae-Myc-Nami,Gud-Mae-Ryze,Whs-Mae-Brr-Sylas,Asl-Mae-Vladimir,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Rag-Car-Hecarim,Jae-Shr-Neeko,Tet-Brr-Led-Ornn,Rag-Brr-War-Shen,Rag-Shr-Drn-Shyvana,Gud-Asn-Talon,Gud-Swt-Twitch,Rag-Swt-Xayah,Mie-Drr-War-Yasuo",1,1.0,14,2171,5.049030266690456
"Gud-Myc-Bad-Bard,Trr-Mae-Heimerdinger,Asl-Brr-Illaoi,Trr-Myc-Evr-Lulu,Asl-Mae-Myc-Nami,Whs-Asn-Pyke,Gud-Mae-Ryze,Whs-Mae-Brr-Sylas,-TrainerDragon,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Trr-Mae-Heimerdinger,Asl-Brr-Illaoi,Trr-Myc-Evr-Lulu,Asl-Mae-Myc-Nami,Rel-Evr-Sona,Whs-Mae-Brr-Sylas,-TrainerDragon,Gud-Swt-Twitch,Asl-Swt-Varus,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Trr-Mae-Heimerdinger,Asl-Brr-Illaoi,Trr-Myc-Evr-Lulu,Asl-Mae-Myc-Nami,Rel-Evr-Sona,Whs-Mae-Brr-Sylas,-TrainerDragon,Asl-Mae-Vladimir,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Rag-Car-Hecarim,Jae-Shr-Neeko,Gud-Car-Sejuani,Rag-Drr-Shr-Swain,Gud-Swt-Twitch,Rag-Swt-Xayah",1,1.0,14,2171,5.049030266690456
"Gud-Myc-Bad-Bard,Trr-Mae-Heimerdinger,Asl-Brr-Illaoi,Trr-Myc-Evr-Lulu,Asl-Mae-Myc-Nami,Jae-Shr-Neeko,Gud-Mae-Ryze,Whs-Mae-Brr-Sylas,-TrainerDragon,Asl-Mae-Vladimir",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Trr-Mae-Heimerdinger,Asl-Brr-Illaoi,Trr-Myc-Evr-Lulu,Asl-Mae-Myc-Nami,Gud-Mae-Ryze,Whs-Mae-Brr-Sylas,-TrainerDragon,Asl-Mae-Vladimir,Mie-Drr-War-Yasuo,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Trr-Mae-Heimerdinger,Asl-Brr-Illaoi,Trr-Myc-Evr-Lulu,Asl-Mae-Myc-Nami,Gud-Mae-Ryze,Rel-Evr-Sona,Whs-Mae-Brr-Sylas,-TrainerDragon,Asl-Mae-Vladimir,She-Spf-Mae-Zoe",1,1.0,1,4817,3.5072831378575127
"Rag-Car-Hecarim,Mie-Car-Nunu,Tet-Brr-Led-Ornn,Gud-Car-Sejuani,Rag-Brr-War-Shen,Gud-Asn-Talon,Gud-Swt-Twitch,Rag-Swt-Xayah,Mie-Drr-War-Yasuo",2,1.0,14,2171,5.049030266690456
"Rag-Car-Hecarim,Mie-Car-Nunu,Tet-Brr-Led-Ornn,Whs-Asn-Pyke,Rag-Brr-War-Shen,Gud-Asn-Talon,Gud-Swt-Twitch,Rag-Swt-Xayah,Mie-Drr-War-Yasuo",1,1.0,14,2171,5.049030266690456
"Gud-Myc-Bad-Bard,Tet-Swt-Ezreal,Rag-Car-Hecarim,Tet-Brr-Led-Ornn,Rag-Brr-War-Shen,Gud-Asn-Talon,Rag-Swt-Xayah,Mie-Drr-War-Yasuo",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Tet-Swt-Ezreal,Rag-Car-Hecarim,Tet-Brr-Led-Ornn,Gud-Car-Sejuani,Rag-Brr-War-Shen,Gud-Swt-Twitch,Asl-Swt-Varus,Rag-Swt-Xayah,Mie-Drr-War-Yasuo",1,1.0,1,4817,3.5072831378575127
"Tet-Swt-Ezreal,Asl-Brr-Illaoi,Tet-Brr-Led-Ornn,Whs-Asn-Pyke,Rag-Brr-War-Shen,Whs-Mae-Brr-Sylas,Gud-Swt-Twitch,Asl-Swt-Varus,Rag-Swt-Xayah",1,1.0,14,2171,5.049030266690456
"Gud-Myc-Bad-Bard,Tet-Swt-Ezreal,Rag-Car-Hecarim,Asl-Brr-Illaoi,Tet-Brr-Led-Ornn,Gud-Swt-Twitch,Asl-Swt-Varus,Rag-Swt-Xayah,Mie-Drr-War-Yasuo",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Tet-Swt-Ezreal,Asl-Brr-Illaoi,Tet-Brr-Led-Ornn,Whs-Mae-Brr-Sylas,Gud-Swt-Twitch,Asl-Swt-Varus,Rag-Swt-Xayah,Mie-Drr-War-Yasuo",1,1.0,1,4817,3.5072831378575127
"Rag-Car-Hecarim,Rag-Car-Senna,Rag-Drr-Sett,Rag-Brr-War-Shen,Rag-Shr-Drn-Shyvana,Rag-Drr-Shr-Swain,Whs-Mae-Brr-Sylas,Rag-Swt-Xayah",1,1.0,14,2171,5.049030266690456
"Gud-Myc-Bad-Bard,Tet-Swt-Ezreal,Asl-Brr-Illaoi,Tet-Brr-Led-Ornn,Rag-Brr-War-Shen,Asl-Brr-Skarner,Asl-Swt-Varus",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Tet-Swt-Ezreal,Asl-Brr-Illaoi,Tet-Brr-Led-Ornn,Gud-Swt-Twitch,Asl-Swt-Varus,Rag-Swt-Xayah,Mie-Drr-War-Yasuo",1,1.0,1,4817,3.5072831378575127
"Rag-Car-Hecarim,Jae-Shr-Neeko,Tet-Brr-Led-Ornn,Whs-Asn-Pyke,Rel-Evr-Sona,Asl-Swt-Varus,Mie-Drr-War-Yasuo",1,1.0,17,1,1.0
"Whs-Brr-Drn-DragonPurple,Rag-Car-Hecarim,Asl-Brr-Illaoi,Rag-Brr-War-Shen,Jae-Str-Soraka,Whs-Mae-Brr-Sylas,Asl-Swt-Varus,Rag-Swt-Xayah",1,1.0,0,3020,4.6962400707562075
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Asl-Brr-Illaoi,Gud-Swt-Twitch,Asl-Swt-Varus",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Asl-Brr-Illaoi,Rag-Brr-War-Shen,Asl-Brr-Skarner,Gud-Swt-Twitch,Asl-Swt-Varus,Mie-Drr-War-Yasuo",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Rag-Car-Hecarim,Tet-Brr-Led-Ornn,Whs-Asn-Pyke,Gud-Asn-Talon,Mie-Drr-War-Yasuo",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Rag-Car-Hecarim,Tet-Brr-Led-Ornn,Tet-Asn-Qiyana,Gud-Car-Sejuani,Gud-Asn-Talon,Gud-Swt-Twitch",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Rag-Car-Hecarim,Tet-Brr-Led-Ornn,Rag-Brr-War-Shen,Rag-Swt-Xayah,Mie-Drr-War-Yasuo",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Rag-Car-Hecarim,Mie-Car-Nunu,Whs-Asn-Pyke,Whs-Mae-Brr-Sylas,Whs-Gun-Thresh,Mie-Drr-War-Yasuo",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Rag-Car-Hecarim,Mie-Car-Nunu,Tet-Brr-Led-Ornn,Whs-Asn-Pyke,Jae-Str-Soraka,Mie-Drr-War-Yasuo",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Rag-Car-Hecarim,Mie-Car-Nunu,Tet-Brr-Led-Ornn,Whs-Asn-Pyke,Gud-Car-Sejuani,Gud-Asn-Talon,Mie-Drr-War-Yasuo",1,1.0,1,4817,3.5072831378575127
"Gud-Myc-Bad-Bard,Whs-Brr-Drn-DragonPurple,Rag-Car-Hecarim,Mie-Car-Nunu,Gud-Car-Sejuani,Whs-Mae-Brr-Sylas,Gud-Asn-Talon,Mie-Drr-War-Yasuo",1,1.0,1,4817,3.5072831378575127
